Country,Year,Household_Size,Real_GDP_Per_Capita,Train_Transport_Pct,Bus_Transport_Pct,Urban_Population_Pct,All_Transport_Pct,Fuel_Price_Index,Car_Stock,Population,EPS_Index,Surface_Area_km2,Railway_1890,Railway_1895,Railway_1900,Railway_1905,Railway_1910,Size_Dummy
Germany,2014,2.0,40850.0,8.3,7.2,77.19,15.5,150.19722222222222,44403000.0,80767463,3.1111112,357581.0,,,,,,1
Germany,2015,2.0,41230.0,8.2,7.4,77.2,15.6,129.09444444444443,45071000.0,81197537,3.0277777,357581.0,,,,,,1
Germany,2016,2.0,41880.0,8.4,7.3,77.224,15.7,115.36666666666666,45803560.0,82175684,3.0833333,357581.0,,,,,,1
Germany,2017,2.0,42960.0,8.7,7.3,77.261,16.0,123.29722222222222,46474594.0,82521653,3.0277777,357581.0,,,,,,1
Germany,2018,2.0,43390.0,8.9,7.2,77.312,16.1,135.71944444444443,47095784.0,82792351,3.25,357581.0,,,,,,1
Germany,2019,2.0,43790.0,9.3,7.4,77.376,16.7,134.85833333333332,47715977.0,83019213,3.3055556,357581.0,,,,,,1
Germany,2020,2.0,42020.0,6.3,4.8,77.453,11.2,118.61111111111111,48248584.0,83166711,3.4722223,357581.0,,,,,,1
Germany,2021,2.0,43730.0,6.3,4.9,77.544,11.2,144.14166666666668,48540878.0,83155031,3.4722223,357581.0,,,,,,1
Germany,2022,2.0,44230.0,9.3,6.0,77.648,15.3,196.925,48763036.0,83237124,3.4722223,357581.0,,,,,,1
Germany,2023,2.0,43450.0,9.9,6.5,77.765,16.5,188.69166666666666,49098685.0,83118501,3.4722223,357581.0,,,,,,1
Germany,2024,2.0,43110.0,9.9,6.5,77.895,16.5,180.91111111111113,49339166.0,83456045,3.4722223,357581.0,,,,,,1
Netherlands,2003,2.3,40740.0,8.7,3.9,80.341,12.6,94.76777777777778,6909000.0,16192572,1.7777778,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2004,2.3,41420.0,8.4,3.9,81.514,12.3,102.27194444444444,6992000.0,16258032,1.8055556,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2005,2.3,42160.0,8.9,3.8,82.63,12.7,111.73888888888888,7092000.0,16305526,2.75,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2006,2.3,43590.0,9.4,3.5,83.636,12.8,117.0261111111111,7230000.0,16334210,2.7777777,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2007,2.3,45180.0,9.6,2.9,84.539,12.5,120.69944444444445,7392000.0,16357992,2.7777777,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2008,2.3,45960.0,9.7,3.0,85.402,12.7,128.42916666666667,7542000.0,16405399,3.2222223,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2009,2.2,44050.0,9.8,2.9,86.288,12.7,116.17472222222221,7622000.0,16485787,3.5555556,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2010,2.2,44400.0,10.1,3.4,87.134,13.5,129.6902777777778,7736000.0,16574989,3.75,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2011,2.2,44980.0,10.4,3.5,87.879,13.9,142.76555555555558,7859000.0,16655799,3.1666667,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2012,2.2,44370.0,10.6,3.2,88.588,13.8,153.24305555555554,7916000.0,16730348,3.1388888,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2013,2.2,44230.0,11.3,2.7,89.187,14.0,151.05388888888888,7932290.0,16779575,3.0555556,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2014,2.2,44780.0,11.8,2.7,89.69,14.5,148.29777777777778,7979083.0,16829289,3.1111112,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2015,2.2,45530.0,10.8,3.0,90.173,13.8,134.8536111111111,8100864.0,16900726,3.1944444,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2016,2.2,46380.0,11.0,3.0,90.635,14.0,127.14333333333333,8222974.0,16979120,3.3333333,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2017,2.2,47390.0,11.4,2.9,91.077,14.3,134.69805555555556,8373244.0,17081507,3.1111112,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2018,2.2,48180.0,11.2,3.2,91.49,14.4,142.06722222222223,8442982.0,17181084,3.5,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2019,2.1,48970.0,11.2,3.2,91.876,14.4,144.75222222222223,8584391.0,17282163,3.4722223,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2020,2.1,46810.0,7.8,2.1,92.236,9.9,136.3113888888889,8686419.0,17407585,3.4722223,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2021,2.1,49490.0,8.4,2.3,92.572,10.6,159.2811111111111,8827709.0,17475415,3.4722223,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2022,2.1,51480.0,11.6,2.9,92.886,14.5,188.0622222222222,8917107.0,17590672,3.4722223,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2023,2.1,50660.0,12.0,2.7,93.179,14.7,173.18944444444443,9067393.0,17811291,3.4722223,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Netherlands,2024,2.1,50880.0,12.0,2.7,93.453,14.7,178.07555555555555,9247810.0,17942942,3.4722223,41543.0,2610.0,2661.0,2771.0,3031.0,3190.0,0
Norway,2003,2.1,55570.0,3.9,6.6,77.084,10.6,90.77222222222223,1978000.0,4552252,2.25,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2004,2.1,57460.0,4.4,7.1,77.399,11.5,96.77777777777777,1978000.0,4577457,2.25,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2005,2.1,58610.0,4.5,7.1,77.675,11.5,105.47777777777777,2029000.0,4606363,2.4722223,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2006,2.1,59560.0,4.6,6.9,77.95,11.4,113.49444444444445,2084000.0,4640219,2.4722223,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2007,2.1,60670.0,4.6,6.7,78.234,11.3,115.60555555555555,2155000.0,4681134,2.8055556,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2008,2.1,60210.0,4.8,6.7,78.526,11.5,127.14999999999999,2197000.0,4737171,2.9722223,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2009,2.1,58300.0,4.7,6.7,78.815,11.4,119.27222222222223,2244000.0,4799252,3.6666667,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2010,2.1,58030.0,4.8,6.9,79.102,11.7,129.64722222222224,2308000.0,4858199,3.6666667,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2011,2.1,57920.0,4.5,7.0,79.455,11.6,142.89444444444445,2376000.0,4920305,3.7222223,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2012,2.1,58710.0,4.6,5.6,79.874,10.2,149.58333333333334,2443000.0,4985870,3.6666667,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2013,2.1,58590.0,4.8,5.5,80.286,10.2,149.01944444444445,2500265.0,5051275,3.6666667,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2014,2.1,59130.0,4.9,5.4,80.692,10.2,150.10555555555555,2555443.0,5109056,3.7222223,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2015,2.0,59610.0,4.9,5.7,81.091,10.6,141.60833333333332,2610000.0,5165802,3.7222223,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2016,2.0,59780.0,5.0,5.8,81.485,10.9,136.86944444444444,2662910.0,5213985,3.7222223,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2017,1.9,60780.0,5.5,6.4,81.871,11.9,146.98333333333332,2719396.0,5258317,3.7222223,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2018,2.0,60880.0,5.7,6.5,82.248,12.2,159.38888888888889,2751949.0,5295619,3.8333333,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2019,2.0,61150.0,5.6,6.9,82.616,12.4,160.2,2801208.0,5328212,3.8888888,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2020,2.0,60020.0,3.1,4.8,82.974,7.9,149.89166666666668,2934883.0,5367580,3.9444444,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2021,2.0,62030.0,2.9,4.8,83.323,7.7,168.47777777777776,3003005.0,5391369,3.9444444,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2022,2.0,63470.0,4.7,5.0,83.664,9.8,227.58333333333334,3018728.0,5425270,3.9444444,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2023,2.0,62790.0,5.3,5.7,83.995,11.0,218.94444444444446,2889087.0,5488984,3.9444444,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Norway,2024,2.0,63500.0,5.3,5.7,84.318,11.0,218.96666666666667,2891748.0,5550217,3.9444444,323772.0,1562.0,1726.0,1981.0,2490.0,2976.0,1
Czechia,2003,2.5,14570.0,7.3,17.2,73.74,24.5,82.6875,3706012.0,10192649,2.4166667,78871.012617,,,,,,0
Czechia,2004,2.5,15250.0,7.5,16.0,73.671,23.4,89.35416666666667,3816000.0,10195347,2.4166667,78871.012617,,,,,,0
